,genre_list
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Indie']",9
"['Simulator', 'Pinball', 'Arcade']",9
"['Sport', 'Turn-based strategy (TBS)']",9
"['Platform', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie']",9
"['Role-playing (RPG)', 'Tactical', 'Adventure']",9
"['Strategy', ""Hack and slash/Beat 'em up"", 'Adventure']",9
"['Platform', 'Strategy', 'Adventure']",9
"['Strategy', 'Quiz/Trivia', 'Indie']",9
"['Platform', 'Puzzle', 'Indie', 'Arcade']",9
"['Platform', 'Simulator', 'Adventure']",9
"['Shooter', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",9
"['Shooter', 'Racing', 'Simulator']",9
"['Fighting', 'Adventure', 'Arcade']",9
"['Strategy', 'Quiz/Trivia', 'Card & Board Game']",9
"['Point-and-click', 'Role-playing (RPG)', 'Adventure', 'Indie']",9
"['Role-playing (RPG)', 'Strategy', 'Indie', 'Card & Board Game']",9
"['Quiz/Trivia', 'Indie']",9
"['Puzzle', 'Strategy', 'Turn-based strategy (TBS)']",9
"['Puzzle', 'Role-playing (RPG)', 'Indie']",9
"['Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",9
"['Strategy', 'Indie', 'Arcade']",9
"['Sport', 'Adventure', 'Indie']",9
"['Shooter', 'Real Time Strategy (RTS)', 'Strategy', 'Indie']",9
"['Fighting', 'Platform', ""Hack and slash/Beat 'em up"", 'Adventure']",8
"['Racing', 'Simulator', 'Sport', 'Strategy']",8
"['Real Time Strategy (RTS)', 'Strategy', 'Tactical', 'Indie']",8
"['Racing', 'Sport', 'Adventure']",8
"['Puzzle', 'Real Time Strategy (RTS)', 'Strategy']",8
"['Point-and-click', 'Puzzle', 'Strategy', 'Adventure', 'Indie']",8
"['Platform', 'Racing', 'Adventure', 'Indie']",8
"['Music', 'Puzzle', 'Indie']",8
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)']",8
"['Racing', 'Role-playing (RPG)']",8
"['Shooter', 'Puzzle', 'Indie']",8
"['Role-playing (RPG)', 'Quiz/Trivia']",8
"['Role-playing (RPG)', 'Adventure', 'Arcade']",8
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",8
"['Platform', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']",8
"['Shooter', ""Hack and slash/Beat 'em up"", 'Arcade']",8
"['Platform', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",8
"['Fighting', 'Simulator']",8
"['Puzzle', 'Role-playing (RPG)', 'Strategy', 'Adventure']",8
"['Strategy', 'Tactical', 'Adventure']",8
"['Shooter', 'Simulator', 'Indie', 'Arcade']",7
"['Fighting', ""Hack and slash/Beat 'em up"", 'Adventure', 'Arcade']",7
"['Racing', 'Simulator', 'Sport', 'Indie', 'Arcade']",7
"['Platform', 'Sport', 'Adventure']",7
"['Racing', ""Hack and slash/Beat 'em up""]",7
"['Puzzle', 'Adventure', 'Indie', 'Visual Novel']",7
"['Puzzle', 'Simulator', 'Strategy', 'Adventure', 'Indie']",7
"['Shooter', 'Real Time Strategy (RTS)', 'Simulator', 'Strategy']",7
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",7
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Indie']",7
"['Fighting', 'Shooter', 'Racing', 'Adventure']",7
"['Platform', 'Simulator']",7
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Card & Board Game']",7
"['Point-and-click', 'Adventure', 'Visual Novel']",7
"['Fighting', 'Puzzle', 'Role-playing (RPG)', 'Strategy', 'Adventure']",7
"['Platform', 'Puzzle', ""Hack and slash/Beat 'em up"", 'Adventure']",7
"['Shooter', 'Role-playing (RPG)', 'Simulator']",7
"[""Hack and slash/Beat 'em up"", 'Indie', 'Arcade']",7
"['Strategy', 'Turn-based strategy (TBS)', 'Adventure']",7
"['Puzzle', 'Strategy', 'Indie', 'Card & Board Game']",7
"['Shooter', 'Simulator', 'Strategy', 'Adventure', 'Indie']",7
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",7
"['Platform', ""Hack and slash/Beat 'em up"", 'Indie']",7
"['Puzzle', 'Strategy', 'Tactical']",7
"['Simulator', 'Indie', 'Visual Novel']",7
"['Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Indie']",7
"['Fighting', 'Sport', 'Arcade']",7
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical']",7
"['Shooter', 'Role-playing (RPG)', 'Indie', 'Arcade']",7
"['Shooter', 'Music', 'Indie']",7
"['Shooter', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",7
"['Point-and-click', 'Strategy', 'Adventure']",7
"['Racing', 'Real Time Strategy (RTS)', 'Simulator']",7
"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",7
"['Strategy', 'Tactical', 'Arcade']",7
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Indie', 'Card & Board Game']",7
"['Puzzle', 'Strategy', 'Adventure', 'Indie', 'Arcade']",6
"['Music', 'Puzzle', 'Arcade']",6
"['Simulator', 'Quiz/Trivia']",6
"['Strategy', 'Turn-based strategy (TBS)', 'Indie', 'Card & Board Game']",6
"[""Hack and slash/Beat 'em up"", 'Adventure', 'Arcade']",6
"['Shooter', 'Strategy', 'Indie', 'Arcade']",6
"['Role-playing (RPG)', 'Strategy', 'Adventure', 'Visual Novel']",6
"['Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure', 'Indie']",6
"['Shooter', 'Tactical', 'Indie']",6
"['Puzzle', 'Strategy', 'Adventure', 'Indie', 'Card & Board Game']",6
"['Shooter', 'Pinball']",6
"['Shooter', 'Pinball', 'Arcade']",6
"['Simulator', 'Strategy', 'Card & Board Game']",6
"['Racing', 'Simulator', 'Strategy']",6
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Adventure']",6
"['Fighting', 'Shooter', 'Indie']",6
"['Puzzle', 'Simulator', 'Quiz/Trivia']",6
"['Platform', 'Racing', 'Indie']",6
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)']",6
"['Shooter', 'Puzzle', 'Strategy']",6
"['Shooter', 'Puzzle', 'Adventure', 'Indie']",6
"['Pinball', 'Indie']",6
"['Role-playing (RPG)', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure']",6
"['Shooter', 'Platform', 'Puzzle', 'Adventure', 'Indie']",6
"['Puzzle', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",6
"['Music', 'Puzzle', 'Adventure', 'Indie']",6
"['Fighting', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up""]",6
"['Puzzle', 'Role-playing (RPG)', 'Strategy', 'Indie']",6
"['Platform', 'Simulator', 'Adventure', 'Indie']",6
"['Fighting', 'Platform', 'Adventure']",6
"['Quiz/Trivia', 'Card & Board Game']",6
"['Fighting', 'Shooter', 'Arcade']",6
"['Puzzle', ""Hack and slash/Beat 'em up"", 'Adventure']",6
"['Racing', 'Strategy', 'Indie']",6
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",6
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure']",6
"['Role-playing (RPG)', 'Arcade']",6
"['Shooter', 'Simulator', 'Strategy', 'Arcade']",6
"['Simulator', 'Turn-based strategy (TBS)']",6
"['Platform', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",6
"['Simulator', 'Strategy', 'Tactical', 'Adventure']",5
"['Shooter', 'Puzzle', 'Indie', 'Arcade']",5
"['Platform', 'Puzzle', 'Simulator', 'Adventure', 'Indie']",5
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical', 'Indie']",5
"['Turn-based strategy (TBS)', 'Indie']",5
"['Platform', 'Racing', 'Indie', 'Arcade']",5
"['Simulator', 'Turn-based strategy (TBS)', 'Card & Board Game']",5
"['Shooter', 'Simulator', 'Sport', 'Adventure']",5
"['Real Time Strategy (RTS)', 'Strategy', 'Turn-based strategy (TBS)']",5
"['Simulator', 'Strategy', 'Arcade']",5
"['Point-and-click', 'Simulator']",5
"['Music', 'Platform', 'Adventure', 'Indie']",5
"['Racing', 'Sport', 'Strategy']",5
"['Shooter', 'Platform', 'Puzzle', 'Indie']",5
"['Strategy', 'Turn-based strategy (TBS)', 'Quiz/Trivia', 'Card & Board Game']",5
"['Fighting', 'Platform', 'Indie', 'Arcade']",5
"['Shooter', 'Role-playing (RPG)', 'Sport', 'Adventure']",5
"['Tactical', 'Arcade']",5
"['Fighting', 'Music']",5
"['Puzzle', 'Strategy', 'Quiz/Trivia', 'Card & Board Game']",5
"['Pinball', 'Adventure']",5
